CITY,DISTRICT,GEOCODE,DAYTIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
高雄市,左營區,6400300,2019-05-13 09:00:00,28,26,87,偏西風,2,2,32,多雲,04,0,0,2019-05-12
高雄市,左營區,6400300,2019-05-13 12:00:00,30,27,85,偏西風,3,2,34,晴,01,0,0,2019-05-12
高雄市,左營區,6400300,2019-05-13 15:00:00,30,25,78,偏西風,3,2,32,晴,01,0,0,2019-05-12
高雄市,左營區,6400300,2019-05-13 18:00:00,28,25,81,西南風,2,<= 1,31,多雲,04,0,0,2019-05-12
高雄市,左營區,6400300,2019-05-13 21:00:00,27,24,85,西南風,1,<= 1,31,多雲,04,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 00:00:00,27,25,92,東北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 03:00:00,26,25,94,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 06:00:00,26,24,93,偏北風,2,<= 1,29,晴,01,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 09:00:00,28,27,91,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 12:00:00,30,28,89,偏西風,3,2,35,晴,01,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 15:00:00,30,27,81,偏西風,2,<= 1,34,晴,01,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 18:00:00,29,26,84,西南風,2,<= 1,33,多雲,04,0,0,2019-05-12
高雄市,楠梓區,6400400,2019-05-13 21:00:00,28,26,90,偏南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 00:00:00,27,24,85,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 03:00:00,26,24,87,偏北風,2,<= 1,30,晴,01,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 06:00:00,26,23,86,偏北風,1,<= 1,29,晴,01,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 09:00:00,28,25,85,偏西風,2,2,32,多雲,04,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 12:00:00,30,27,85,偏西風,3,2,34,晴,01,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 15:00:00,29,25,78,偏西風,3,2,32,晴,01,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 18:00:00,28,25,81,西南風,2,<= 1,31,多雲,04,0,0,2019-05-12
高雄市,三民區,6400500,2019-05-13 21:00:00,27,24,84,西南風,1,<= 1,31,多雲,04,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 00:00:00,27,25,86,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 03:00:00,27,25,90,偏北風,2,<= 1,31,晴,01,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 06:00:00,26,24,89,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 09:00:00,29,26,87,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 12:00:00,30,28,88,偏西風,3,2,35,晴,01,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 15:00:00,30,26,79,偏西風,2,2,34,晴,01,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 18:00:00,29,26,82,西南風,2,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,新興區,6400600,2019-05-13 21:00:00,28,25,86,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 00:00:00,27,25,89,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 03:00:00,27,25,93,偏北風,2,<= 1,31,晴,01,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 06:00:00,26,24,91,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 09:00:00,28,27,90,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 12:00:00,30,28,89,偏西風,3,2,35,晴,01,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 15:00:00,30,27,83,偏西風,3,2,33,晴,01,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 18:00:00,28,26,86,西南風,2,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,前金區,6400700,2019-05-13 21:00:00,28,25,88,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 00:00:00,27,25,86,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 03:00:00,27,25,90,偏北風,2,<= 1,31,晴,01,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 06:00:00,26,24,89,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 09:00:00,29,26,87,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 12:00:00,30,28,88,偏西風,3,2,35,晴,01,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 15:00:00,30,26,79,偏西風,2,2,34,晴,01,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 18:00:00,29,26,82,西南風,2,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,苓雅區,6400800,2019-05-13 21:00:00,28,25,86,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 00:00:00,27,24,86,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 03:00:00,26,24,89,偏北風,2,<= 1,30,晴,01,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 06:00:00,26,24,89,西北風,1,<= 1,29,晴,01,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 09:00:00,29,26,86,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 12:00:00,30,28,87,偏西風,3,2,35,晴,01,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 15:00:00,30,26,81,偏西風,3,2,34,晴,01,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 18:00:00,28,25,81,西南風,2,<= 1,31,多雲,04,0,0,2019-05-12
高雄市,前鎮區,6400900,2019-05-13 21:00:00,27,24,84,西南風,1,<= 1,31,多雲,04,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 00:00:00,27,25,92,西北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 03:00:00,26,25,95,偏北風,2,2,30,晴,01,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 06:00:00,26,25,94,偏北風,2,<= 1,29,晴,01,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 09:00:00,28,26,92,偏西風,3,2,32,多雲,04,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 12:00:00,29,27,90,偏西風,3,2,33,晴,01,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 15:00:00,29,26,85,偏西風,3,2,32,晴,01,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 18:00:00,28,25,88,西南風,2,2,30,多雲,04,0,0,2019-05-12
高雄市,旗津區,6401000,2019-05-13 21:00:00,27,25,91,西南風,1,<= 1,30,多雲,04,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 00:00:00,27,25,87,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 03:00:00,26,24,89,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 06:00:00,26,24,88,西北風,1,<= 1,29,晴,01,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 09:00:00,29,26,85,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 12:00:00,30,28,85,偏西風,2,2,35,晴,01,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 15:00:00,30,26,80,偏西風,2,2,34,晴,01,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 18:00:00,29,25,80,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,小港區,6401100,2019-05-13 21:00:00,28,24,84,西南風,1,<= 1,31,多雲,04,0,0,2019-05-12
